"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",62
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",1
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",0
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",10
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",19
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",13
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",3
"82","023","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",17
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",39
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",1
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",1
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",2
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",10
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",7
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",3
"82","027","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",13
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",65
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",5
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",0
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",3
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",15
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",16
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",6
"82","028","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",22
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",17
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",1
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",0
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",1
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",2
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",4
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",1
"82","029","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",8
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",160
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",0
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",1
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",19
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Elvin Garcia",28
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Amanda C. Farias",43
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Michael Beltzer",11
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Ruben Diaz Sr.",54
"85","001","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Scattered",1
"85","002","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Public Counter",132
"85","002","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Manually Counted Emergency",0
"85","002","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Absentee / Military",4
"85","002","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"Affidavit",1
"85","002","Bronx","IN-PLAY","Primary Election - 09/12/2017","Democratic","Member of the City Council","18",1,"William Russell Moore",14
