,Factor1,Factor2,Factor3,Factor4
log_mhhi21,-0.25391633778297606,0.23463010249953764,-0.12617203730660648,0.11162134861735645
cvap21bapp,-7.150016002043949,8.848920262096954,-0.21581570544594583,-2.714682358185197
nhb21p,-8.797029919323103,-10.66404894317593,0.0050297531318454205,-0.38637096492101464
nhw21p,-3.3407023615261977,10.32524318411587,0.26995919335388135,0.7667655953384578
h21p,13.15821366065749,-1.2360656638268794,-0.7508802685443035,-0.16693477207949373
white_transplant_ratio,-1.739482951716489,5.162556844992215,0.5035939915564287,-0.9700686607168603
hh21bop,-6.868118879429434,2.7239527320576316,-9.35368910098384,-1.2437352706398541
femHHH_ratio,6.329672822303928,-6.749376573995457,0.5691227391915605,2.525690508278141
w2cmp,-0.3785056889683471,1.354573294505928,0.005699307587099681,-1.1412326099128334
w2admp,-1.6934372876311252,3.0595917266829167,0.18515301407846488,-1.3714821723604333
w2hsp,7.174129341693174,-3.9771597863366868,0.2945379712431147,3.312360408674765
w2mgtp,-2.3260895762033496,2.879184727434177,-0.09108694925378256,0.07833756124822928
w2bgp,1.7089390256677959,-1.0445556838040069,0.7461958520414939,-0.1833633133689123
w2lawp,-0.6358202539818187,0.5958773123027078,0.21849979339617862,-0.6654952217163533
hh21op,-7.4142071404555026,0.9726472858954203,-7.516419538644209,0.2426270741729442
bus_ratio,2.8529094163386954,-4.3808918939345265,0.3016599499630606,1.2250308773701462
living_alone_ratio,-1.0845176538081802,0.6173804334271565,0.53674924798748,-0.5886209071379844
w2matp,0.4412529705143312,-0.4377870619497076,0.5918739235637688,0.6427830593962758
w2govp,-0.5282336419036058,-3.640149568218422,-1.0771382352617074,0.2945819461854794
wfh_ratio,-2.2449540940833574,3.264226272863336,1.363698445770373,-0.5323704657800192
drive_ratio,-0.7022209247402125,-1.3970003700712887,-2.191895310462294,-1.1272098303841718
bike_ratio,-0.23895364306197328,0.8767655098518866,0.7115150010943595,-1.1657238880996752
train_ratio,-0.01531884008205535,0.11226411800428858,0.27710766666090425,-0.06941609484144334
