ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
77001,4.76,11.95,31.1,7.1899999999999995,19.150000000000002,26.340000000000003,45.95,12.0
77002,4.78,9.01,28.2,4.2299999999999995,19.189999999999998,23.419999999999998,24.64,30.77
77003,2.58,14.02,25.4,11.44,11.379999999999999,22.82,18.02,36.67
77004,3.93,17.58,21.74,13.649999999999999,4.16,17.81,30.81,31.16
77005,2.77,13.75,28.59,10.98,14.84,25.82,19.83,23.08
77006,4.34,14.9,25.97,10.56,11.069999999999999,21.63,32.27,21.88
77007,4.14,10.29,30.43,6.1499999999999995,20.14,26.29,22.45,22.56
77008,3.05,15.81,26.95,12.760000000000002,11.139999999999999,23.9,27.14,19.71
77009,4.76,15.79,30.1,11.03,14.310000000000002,25.340000000000003,29.53,21.71
77010,5.78,14.1,30.9,8.32,16.799999999999997,25.119999999999997,24.32,17.32
77011,4.52,12.32,30.94,7.800000000000001,18.62,26.42,23.0,28.22
77012,4.22,7.8,23.32,3.58,15.52,19.1,22.71,17.19
77013,4.07,12.96,25.19,8.89,12.23,21.12,28.47,22.86
77014,7.83,14.93,22.4,7.1,7.469999999999999,14.569999999999999,33.66,32.84
77015,5.3,16.18,29.73,10.879999999999999,13.55,24.43,25.85,26.56
77016,4.94,13.63,16.15,8.690000000000001,2.519999999999998,11.209999999999997,30.37,21.38
77017,3.47,14.16,20.49,10.69,6.329999999999998,17.02,15.49,21.36
77018,3.9,12.67,23.18,8.77,10.51,19.28,28.57,28.37
77019,4.41,14.96,19.34,10.55,4.379999999999999,14.93,28.42,25.0
77020,5.89,14.0,28.04,8.11,14.04,22.15,19.8,23.36
77021,5.16,15.76,28.05,10.6,12.290000000000001,22.89,31.52,29.41
77022,5.28,16.05,28.28,10.77,12.23,23.0,19.84,26.49
77023,3.91,10.6,26.24,6.6899999999999995,15.639999999999999,22.33,25.36,11.26
77024,4.01,11.33,22.85,7.32,11.520000000000001,18.840000000000003,23.31,16.81
77025,3.38,9.94,28.37,6.56,18.43,24.990000000000002,24.26,20.0
77026,5.48,14.29,32.5,8.809999999999999,18.21,27.02,20.19,12.09
77027,3.18,10.3,29.88,7.120000000000001,19.58,26.7,27.0,25.81
77028,3.57,13.13,26.4,9.56,13.269999999999998,22.83,30.52,25.35
77029,7.87,15.53,28.92,7.659999999999999,13.390000000000002,21.05,20.97,11.76
77030,3.65,7.39,26.03,3.7399999999999998,18.64,22.380000000000003,21.38,11.49
77033,4.56,13.83,27.73,9.27,13.9,23.17,27.71,20.0
77034,5.48,16.59,35.14,11.11,18.55,29.66,25.91,22.52
77035,3.15,17.41,31.88,14.26,14.469999999999999,28.73,31.05,30.43
77036,5.35,8.93,30.75,3.58,21.82,25.4,31.67,24.07
77037,2.59,12.73,25.69,10.14,12.96,23.1,28.48,30.66
77038,4.84,13.35,25.98,8.51,12.63,21.14,30.0,25.0
77039,4.19,16.09,33.51,11.899999999999999,17.419999999999998,29.319999999999997,27.44,23.94
77040,4.49,14.08,28.38,9.59,14.299999999999999,23.89,33.57,26.36
77041,5.2,20.05,29.1,14.850000000000001,9.05,23.900000000000002,23.6,28.3
77042,5.16,19.04,25.45,13.879999999999999,6.41,20.29,30.81,23.01
77043,3.91,10.92,50.0,7.01,39.08,46.09,18.33,20.97
77044,5.43,13.03,25.49,7.6,12.459999999999999,20.06,22.33,28.95
77045,3.15,11.29,22.22,8.139999999999999,10.93,19.07,28.99,25.64
77046,8.64,16.2,25.2,7.559999999999999,9.0,16.56,30.14,35.23
77047,3.1,12.55,20.34,9.450000000000001,7.789999999999999,17.24,28.28,23.53
77048,5.22,16.91,28.05,11.690000000000001,11.14,22.830000000000002,30.86,21.88
77049,3.94,11.57,16.41,7.630000000000001,4.84,12.47,30.93,23.86
77050,3.68,11.45,21.57,7.77,10.120000000000001,17.89,20.9,29.17
77051,3.3,10.88,24.65,7.580000000000001,13.769999999999998,21.349999999999998,25.12,19.08
77052,5.0,11.76,25.46,6.76,13.700000000000001,20.46,18.75,0.0
77053,2.16,10.79,27.23,8.629999999999999,16.44,25.07,14.35,24.44
77054,2.39,14.68,34.53,12.29,19.85,32.14,23.89,28.97
77055,2.8,10.49,34.45,7.69,23.96,31.650000000000002,29.23,21.19
77056,3.7,9.33,37.25,5.63,27.92,33.55,23.5,23.32
77058,1.74,7.95,,6.21,,,30.09,17.45
77063,3.21,15.93,,12.719999999999999,,,23.79,23.89
78001,2.58,10.2,25.49,7.619999999999999,15.29,22.909999999999997,27.27,23.21
78002,3.14,9.71,20.89,6.57,11.18,17.75,27.68,23.75
78003,11.38,16.7,28.27,5.3199999999999985,11.57,16.89,33.02,23.94
78004,6.89,8.4,21.65,1.5100000000000007,13.249999999999998,14.759999999999998,19.83,23.21
78005,8.5,17.01,32.48,8.510000000000002,15.469999999999995,23.979999999999997,29.18,33.33
78006,8.59,14.06,30.59,5.470000000000001,16.53,22.0,25.94,25.13
78008,11.59,15.88,35.52,4.290000000000001,19.64,23.930000000000003,50.35,29.08
78009,4.51,11.85,30.6,7.34,18.75,26.090000000000003,44.16,16.67
78010,4.46,12.3,23.01,7.840000000000001,10.71,18.55,23.84,28.7
78011,5.92,11.16,21.18,5.24,10.02,15.26,27.66,16.24
78012,5.12,16.38,33.98,11.259999999999998,17.599999999999998,28.859999999999996,22.42,22.97
78013,5.26,12.69,25.27,7.43,12.58,20.009999999999998,26.7,22.76
78014,4.04,13.64,31.38,9.600000000000001,17.74,27.34,32.43,26.5
78015,7.89,18.22,36.04,10.329999999999998,17.82,28.15,38.14,20.29
78016,5.71,15.52,31.08,9.809999999999999,15.559999999999999,25.369999999999997,24.24,14.02
78017,3.08,23.43,35.71,20.35,12.280000000000001,32.63,30.12,23.26
78018,3.64,17.24,35.27,13.599999999999998,18.030000000000005,31.630000000000003,31.67,29.41
78019,6.95,22.7,28.11,15.75,5.41,21.16,29.36,26.0
78020,6.48,10.58,28.61,4.1,18.03,22.13,30.48,21.25
78021,6.16,17.11,35.61,10.95,18.5,29.45,36.3,43.55
78022,4.03,16.87,37.0,12.84,20.13,32.97,30.87,22.39
78023,5.03,15.94,29.01,10.91,13.070000000000002,23.98,33.33,30.48
78024,6.79,15.78,27.38,8.989999999999998,11.6,20.59,31.48,23.86
78025,7.55,18.96,29.79,11.41,10.829999999999998,22.24,29.63,22.22
78026,3.26,12.17,29.66,8.91,17.490000000000002,26.4,32.06,30.21
78027,4.58,12.54,31.64,7.959999999999999,19.1,27.060000000000002,30.61,17.58
78028,7.93,14.05,32.0,6.120000000000001,17.95,24.07,26.92,31.87
78029,4.5,16.04,34.64,11.54,18.6,30.14,32.02,23.91
78030,10.95,18.3,26.9,7.350000000000001,8.599999999999998,15.95,34.36,22.86
