,date,username,text,full_name,month
0,2023-03-14 21:12:27+00:00,CabanD22,📣 RALLY ANNOUNCEMENT: NYC Council Members  @CMCarlinaRivera @CabanD22 @CMSandraUng  @CMNantashaW make statements for #EqualPayDay!\n\n⬇️ See below for full statements. #EqualPayNY https://t.co/GWJ4ZhEhEq,Tiffany Cabán,2023-03
1,2023-03-14 17:34:23+00:00,CabanD22,We’re proud to announce some District 22 #TrafficSafetyImprovements we made in collaboration with @NYC_DOT!\n\nI’ll never stop working for life-saving infrastructure improvements and a district that is safe and hospitable to pedestrians and cyclists. https://t.co/H2x4B1JU7E,Tiffany Cabán,2023-03
2,2023-03-14 17:28:13+00:00,CabanD22,"The nearly 20K street vendors of NYC make our city what it is! We need #StreetVendorReform so we’re dignifying their businesses, not criminalizing them.\n\nJoin me for a rally at City Hall!\n\n🗓️Thursday 3/16\n⏰ 11:30 AM\n📍Broadway &amp; Park Place https://t.co/v3u8YKunZf",Tiffany Cabán,2023-03
3,2023-03-14 14:52:50+00:00,CabanD22,"""Roughly 40% of the thousands of newly arrived children are 5-yrs-old or younger and could lose access to early childhood programs after June, advocates said.Their parents, too, would miss out on child care services that enable them to find work, housing, navigate immigration..."" https://t.co/l2AXwp8ux8",Tiffany Cabán,2023-03
4,2023-03-14 13:37:28+00:00,CabanD22,.@CabanD22 urging $6M (w/15% admin set aside) in funding for @nycendgbv to fully fund low-barrier microgrants for survivors of domestic &amp; gender-based violence to cover housing + other necessities. Thank you + your staff for dogged advocacy for survivors. #SupportSurvivors #EJ4DV https://t.co/i2gJQWGcbW,Tiffany Cabán,2023-03
5,2023-03-13 21:59:36+00:00,tiffany_caban,".@tiffany_caban asks @NYCHRA how much spent on ""DHS PD"" (police in Dept of Homeless Services.) HRA says $31M. HRA faces $52M in PEGs, $20M in vacancy reductions. Caban asks if that $ wouldn't be better spent on homeless/housing services. Source for PEGs: https://t.co/9NpLQmt5up",Tiffany Cabán,2023-03
6,2023-03-13 17:46:47+00:00,CabanD22,Vote week is right around the corner! You ready to step up for our community?\n\nSign up to volunteer to get out the vote on these vital public safety and public health projects: https://t.co/QZjYxZEPxn https://t.co/WCb9bbJ3Xh,Tiffany Cabán,2023-03
7,2023-03-13 15:32:37+00:00,tiffany_caban,"🚨🚨🚨\n\n@NYPL, @BKLYNlibrary, &amp; @QPLNYC are warning that @NYCMayor’s budget cuts will “severely impact their ability to provide critical services, resources, and programs… or to stay open for their regular hours.”\n\nClick here to take action: https://t.co/1Jg70sTmQb https://t.co/J01W5k33Pf",Tiffany Cabán,2023-03
8,2023-03-13 15:32:18+00:00,CabanD22,"🚨🚨🚨\n\n@NYPL, @BKLYNlibrary, &amp; @QPLNYC are warning that @NYCMayor’s budget cuts will “severely impact their ability to provide critical services, resources, and programs… or to stay open for their regular hours.”\n\nClick here to take action: https://t.co/1Jg70sTmQb https://t.co/J01W5k33Pf",Tiffany Cabán,2023-03
9,2023-03-13 00:25:58+00:00,tiffany_caban,"It's petitioning season again! I spent the afternoon gathering signatures in Astoria for Council Member @tiffany_caban.\n\nIf you see someone with green sheets, remember to stop and sign if you can! And volunteer this week to help Tiffany get on the ballot: https://t.co/KcB9m8iWxi https://t.co/VI2jTgqbOP",Tiffany Cabán,2023-03
