precinct,ed_name,candidate,votes,ed_total,vote_share
AD: 43 ED: 012,43012,Jabari Brisport,156,274,56.93
AD: 43 ED: 045,43045,Jabari Brisport,213,340,62.65
AD: 43 ED: 046,43046,Jabari Brisport,200,289,69.2
AD: 43 ED: 047,43047,Jabari Brisport,115,183,62.84
AD: 43 ED: 048,43048,Jabari Brisport,74,152,48.68
AD: 43 ED: 049,43049,Tremaine S. Wright,110,231,47.62
AD: 43 ED: 050,43050,Jabari Brisport,167,312,53.53
AD: 43 ED: 051,43051,Jabari Brisport,146,279,52.33
AD: 43 ED: 072,43072,Jabari Brisport,125,215,58.14
AD: 43 ED: 087,43087,Jabari Brisport,212,308,68.83
AD: 50 ED: 001,50001,Tremaine S. Wright,40,66,60.61
AD: 50 ED: 014,50014,Tremaine S. Wright,31,68,45.59
AD: 50 ED: 083,50083,Jabari Brisport,90,148,60.81
AD: 50 ED: 084,50084,Jabari Brisport,33,40,82.5
AD: 50 ED: 085,50085,Jabari Brisport,51,60,85.0
AD: 50 ED: 088,50088,Jabari Brisport,43,48,89.58
AD: 50 ED: 089,50089,Jabari Brisport,190,257,73.93
AD: 50 ED: 090,50090,Jabari Brisport,158,199,79.4
AD: 50 ED: 091,50091,Jabari Brisport,136,180,75.56
AD: 50 ED: 092,50092,Jabari Brisport,149,196,76.02
AD: 50 ED: 093,50093,Jabari Brisport,32,45,71.11
AD: 50 ED: 099,50099,Jabari Brisport,167,220,75.91
AD: 51 ED: 008,51008,Jabari Brisport,73,109,66.97
AD: 51 ED: 044,51044,Jabari Brisport,53,73,72.6
AD: 51 ED: 045,51045,Jabari Brisport,3,7,42.86
AD: 51 ED: 046,51046,Jabari Brisport,7,11,63.64
AD: 51 ED: 049,51049,Jabari Brisport,173,258,67.05
AD: 51 ED: 050,51050,Jabari Brisport,34,58,58.62
AD: 51 ED: 051,51051,Jabari Brisport,52,108,48.15
AD: 51 ED: 052,51052,Jabari Brisport,45,83,54.22
AD: 51 ED: 053,51053,Jabari Brisport,64,94,68.09
AD: 51 ED: 054,51054,Jabari Brisport,58,105,55.24
AD: 51 ED: 055,51055,Jabari Brisport,170,225,75.56
AD: 51 ED: 068,51068,Jabari Brisport,33,49,67.35
AD: 51 ED: 069,51069,Jabari Brisport,45,101,44.55
AD: 51 ED: 070,51070,Tremaine S. Wright,67,129,51.94
AD: 51 ED: 071,51071,Tremaine S. Wright,74,139,53.24
AD: 51 ED: 072,51072,Jabari Brisport,159,220,72.27
AD: 51 ED: 073,51073,Jabari Brisport,110,179,61.45
AD: 51 ED: 074,51074,Tremaine S. Wright,42,78,53.85
AD: 51 ED: 081,51081,Jabari Brisport,69,108,63.89
AD: 52 ED: 003,52003,Jabari Brisport,51,80,63.75
AD: 52 ED: 022,52022,Jabari Brisport,64,127,50.39
AD: 52 ED: 023,52023,Jabari Brisport,102,244,41.8
AD: 52 ED: 024,52024,Jabari Brisport,74,120,61.67
AD: 52 ED: 025,52025,Jabari Brisport,218,387,56.33
AD: 52 ED: 027,52027,Jabari Brisport,540,806,67.0
AD: 52 ED: 028,52028,Jabari Brisport,163,291,56.01
AD: 52 ED: 029,52029,Jabari Brisport,133,237,56.12
AD: 52 ED: 030,52030,Jabari Brisport,183,307,59.61
AD: 52 ED: 031,52031,Jabari Brisport,150,290,51.72
AD: 52 ED: 032,52032,Jabari Brisport,144,262,54.96
AD: 52 ED: 033,52033,Jabari Brisport,125,215,58.14
AD: 52 ED: 048,52048,Jabari Brisport,156,242,64.46
AD: 52 ED: 049,52049,Jabari Brisport,155,236,65.68
AD: 52 ED: 050,52050,Jabari Brisport,116,180,64.44
AD: 52 ED: 051,52051,Tremaine S. Wright,71,150,47.33
AD: 52 ED: 052,52052,Tremaine S. Wright,59,111,53.15
AD: 52 ED: 053,52053,Jabari Brisport,112,222,50.45
AD: 52 ED: 054,52054,Tremaine S. Wright,50,99,50.51
AD: 52 ED: 055,52055,Jabari Brisport,150,222,67.57
AD: 52 ED: 056,52056,Jabari Brisport,134,203,66.01
AD: 52 ED: 057,52057,Jabari Brisport,169,269,62.83
AD: 52 ED: 058,52058,Jabari Brisport,150,212,70.75
AD: 52 ED: 059,52059,Jabari Brisport,209,329,63.53
AD: 52 ED: 060,52060,Jabari Brisport,149,226,65.93
AD: 52 ED: 061,52061,Jabari Brisport,169,266,63.53
AD: 52 ED: 062,52062,Jabari Brisport,127,199,63.82
AD: 52 ED: 089,52089,Jabari Brisport,250,368,67.93
AD: 52 ED: 090,52090,Jabari Brisport,242,366,66.12
AD: 52 ED: 091,52091,Jabari Brisport,140,191,73.3
AD: 52 ED: 095,52095,Jabari Brisport,31,44,70.45
AD: 52 ED: 096,52096,Jabari Brisport,186,277,67.15
AD: 52 ED: 097,52097,Jabari Brisport,224,375,59.73
AD: 52 ED: 098,52098,Jabari Brisport,167,270,61.85
AD: 52 ED: 099,52099,Jabari Brisport,191,287,66.55
AD: 52 ED: 100,52100,Jabari Brisport,160,234,68.38
AD: 52 ED: 104,52104,Tremaine S. Wright,110,186,59.14
AD: 52 ED: 106,52106,Jabari Brisport,10,13,76.92
AD: 52 ED: 107,52107,Jabari Brisport,151,230,65.65
AD: 52 ED: 108,52108,Jabari Brisport,163,269,60.59
AD: 52 ED: 109,52109,Jabari Brisport,99,142,69.72
AD: 52 ED: 112,52112,Jabari Brisport,191,270,70.74
AD: 52 ED: 115,52115,Jabari Brisport,76,170,44.71
AD: 54 ED: 015,54015,Jabari Brisport,59,95,62.11
AD: 54 ED: 026,54026,Jabari Brisport,16,22,72.73
AD: 55 ED: 002,55002,Jabari Brisport,129,168,76.79
AD: 55 ED: 004,55004,Jabari Brisport,94,183,51.37
AD: 55 ED: 008,55008,Jabari Brisport,14,28,50.0
AD: 55 ED: 009,55009,Jabari Brisport,89,159,55.97
AD: 55 ED: 010,55010,Jabari Brisport,109,201,54.23
AD: 55 ED: 011,55011,Jabari Brisport,103,187,55.08
AD: 55 ED: 012,55012,Jabari Brisport,40,68,58.82
AD: 55 ED: 017,55017,Jabari Brisport,42,89,47.19
AD: 55 ED: 018,55018,Jabari Brisport,104,209,49.76
AD: 55 ED: 019,55019,Jabari Brisport,126,245,51.43
AD: 55 ED: 020,55020,Tremaine S. Wright,111,235,47.23
AD: 55 ED: 021,55021,Tremaine S. Wright,68,122,55.74
AD: 55 ED: 022,55022,Tremaine S. Wright,69,132,52.27
AD: 55 ED: 023,55023,Tremaine S. Wright,113,208,54.33
AD: 55 ED: 024,55024,Jabari Brisport,92,174,52.87
AD: 55 ED: 025,55025,Jabari Brisport,100,174,57.47
AD: 55 ED: 028,55028,Tremaine S. Wright,27,53,50.94
