precinct,ed_name,candidate,votes,ed_total,vote_share
AD: 50 ED: 003,50003,Julia Salazar,238,306,77.78
AD: 50 ED: 004,50004,Julia Salazar,86,113,76.11
AD: 50 ED: 005,50005,Julia Salazar,250,309,80.91
AD: 50 ED: 006,50006,Julia Salazar,206,260,79.23
AD: 50 ED: 007,50007,Julia Salazar,140,181,77.35
AD: 50 ED: 008,50008,Julia Salazar,188,251,74.9
AD: 50 ED: 009,50009,Julia Salazar,203,254,79.92
AD: 50 ED: 011,50011,Martin Malave Dilan,125,160,78.12
AD: 50 ED: 012,50012,Julia Salazar,199,227,87.67
AD: 50 ED: 015,50015,Julia Salazar,145,191,75.92
AD: 50 ED: 016,50016,Martin Malave Dilan,146,206,70.87
AD: 50 ED: 017,50017,Julia Salazar,116,198,58.59
AD: 50 ED: 018,50018,Julia Salazar,144,188,76.6
AD: 50 ED: 019,50019,Julia Salazar,185,218,84.86
AD: 50 ED: 020,50020,Julia Salazar,156,205,76.1
AD: 50 ED: 021,50021,Julia Salazar,227,281,80.78
AD: 50 ED: 022,50022,Julia Salazar,121,152,79.61
AD: 50 ED: 025,50025,Julia Salazar,61,80,76.25
AD: 50 ED: 043,50043,Julia Salazar,139,174,79.89
AD: 50 ED: 044,50044,Julia Salazar,155,190,81.58
AD: 50 ED: 045,50045,Julia Salazar,31,44,70.45
AD: 50 ED: 046,50046,Julia Salazar,177,227,77.97
AD: 50 ED: 049,50049,Julia Salazar,78,105,74.29
AD: 50 ED: 050,50050,Julia Salazar,143,191,74.87
AD: 50 ED: 051,50051,Julia Salazar,107,149,71.81
AD: 50 ED: 052,50052,Julia Salazar,171,233,73.39
AD: 50 ED: 053,50053,Julia Salazar,129,162,79.63
AD: 50 ED: 054,50054,Julia Salazar,63,100,63.0
AD: 50 ED: 056,50056,Julia Salazar,46,71,64.79
AD: 50 ED: 057,50057,Martin Malave Dilan,123,182,67.58
AD: 50 ED: 058,50058,Martin Malave Dilan,92,130,70.77
AD: 50 ED: 059,50059,Julia Salazar,115,228,50.44
AD: 50 ED: 060,50060,Martin Malave Dilan,124,170,72.94
AD: 50 ED: 061,50061,Martin Malave Dilan,94,147,63.95
AD: 50 ED: 062,50062,Martin Malave Dilan,87,126,69.05
AD: 50 ED: 063,50063,Martin Malave Dilan,159,206,77.18
AD: 50 ED: 081,50081,Martin Malave Dilan,16,22,72.73
AD: 50 ED: 097,50097,Julia Salazar,156,194,80.41
AD: 50 ED: 098,50098,Julia Salazar,108,148,72.97
AD: 50 ED: 102,50102,Julia Salazar,62,84,73.81
