proper_name,new_cluster,k_spon,vote_cluster,finance_cluster,pc,wfp,lange
Christopher Marte,0,0,0,0,2,0,CLE
Adrienne E. Adams,0,2,0,2,2,0,CLE
Nantasha M. Williams,0,0,0,3,2,0,CAM
Justin L. Brannan,0,0,0,4,1,1,CLE
Shekar Krishnan,0,0,0,0,2,0,HP
Sandra Ung,0,0,0,0,0,0,CAM
Mercedes Narcisse,0,0,0,0,1,1,CLE
Rita C. Joseph,0,0,0,3,2,0,HP
Marjorie Velázquez,0,0,0,0,1,1,HP
Crystal Hudson,0,1,0,3,2,0,CLE
Kristin Richardson Jordan,0,0,2,3,2,0,DSA
Shaun Abreu,0,1,0,0,1,0,CLE
Carlina Rivera,0,0,0,0,2,1,HP
Carmen N. De La Rosa,0,0,0,0,2,0,HP
Julie Menin,0,0,0,0,1,0,CLE
"Rafael Salamanca, Jr.",1,2,0,1,0,0,CAM
Ari Kagan,1,2,1,4,0,0,GOP
Oswald Feliz,1,2,0,4,0,0,CAM
Charles Barron,1,2,2,4,2,0,HP
Kamillah Hanks,1,2,0,4,0,0,CLE
Francisco P. Moya,1,2,0,2,0,0,CAM
Linda Lee,1,2,0,0,0,0,CAM
James F. Gennaro,1,0,0,4,0,0,CAM
Selvena N. Brooks-Powers,2,0,0,2,1,0,CAM
Lynn C. Schulman,2,0,0,0,1,0,CAM
Eric Dinowitz,2,0,0,4,1,0,AL
Farah N. Louis,2,3,0,0,1,0,CAM
Diana I. Ayala,2,0,0,2,1,0,CLE
Althea V.  Stevens,2,0,0,2,2,1,CAM
Kevin C. Riley,2,3,0,2,1,0,CAM
Keith Powers,2,2,0,2,1,0,CLE
Inna Vernikov,3,4,1,0,0,0,GOP
Kalman Yeger,3,5,1,0,0,0,GOP
Joseph C. Borelli,3,4,1,4,0,0,GOP
David M. Carr,3,4,1,0,0,0,GOP
Vickie Paladino,3,4,1,0,0,0,GOP
Joann Ariola,3,4,1,4,0,0,GOP
Robert F. Holden,3,5,1,4,0,0,GOP
Pierina Ana Sanchez,4,1,0,3,2,0,HP
Amanda Farías,4,1,0,3,2,1,CLE
Tiffany Cabán,4,1,2,3,2,1,DSA
Jennifer Gutiérrez,4,1,2,2,2,1,Alph. Left
Lincoln Restler,4,3,2,0,2,1,Alph. Left
Shahana K. Hanif,4,3,2,0,2,1,Alph. Left
Alexa Avilés,4,1,2,3,2,1,DSA
Sandy Nurse,4,1,2,3,2,1,HP
Chi A. Ossé,4,0,2,3,2,1,HP
Julie Won,4,1,0,3,2,0,HP
Gale A. Brewer,5,1,0,0,1,0,AL
Erik D. Bottcher,5,2,0,0,1,0,AL
Darlene Mealy,5,2,0,0,1,0,CAM
