k_spon,louv,vote_cluster,kmode_cluster,k_meta_cluster,proper_name,normalized_name,finance_cluster,pc,demo_cluster,district,wfp
0,0,0,0,1,Rita C. Joseph,Rita C Joseph,3,2,4,40,0
0,1,0,2,0,Julie Menin,Julie Menin,0,1,3,5,0
0,0,2,3,4,Kristin Richardson Jordan,Kristin R Jordan,3,2,0,9,0
0,2,0,2,2,Sandra Ung,Sandra Ung,0,0,2,20,0
0,1,0,2,0,Eric Dinowitz,Eric Dinowitz,4,1,0,11,0
0,2,0,2,2,Diana I. Ayala,Diana I Ayala,2,1,0,8,0
0,1,0,2,0,Justin L. Brannan,Justin Brannan,4,1,1,43,1
0,1,0,2,0,Selvena N. Brooks-Powers,Selvena Brooks-Powers,2,1,4,31,0
0,0,0,0,1,Christopher Marte,Christopher Marte,0,2,3,1,0
0,2,0,2,2,Nantasha M. Williams,Nantasha Williams,3,2,4,27,0
0,2,0,2,2,Mercedes Narcisse,Mercedes Narcisse,0,1,4,46,1
0,0,0,0,1,Carmen N. De La Rosa,Carmen De La Rosa,0,2,0,10,0
0,0,0,0,1,Carlina Rivera ,Carlina Rivera,0,2,3,2,1
0,0,0,0,1,Shekar Krishnan,Shekar Krishnan,0,2,2,25,0
0,2,0,2,2,Marjorie Velázquez,Marjorie Velazquez,0,1,1,13,1
0,1,0,2,0,Althea V.  Stevens,Althea V Stevens,2,2,0,16,1
0,2,0,2,2,Lynn C. Schulman,Lynn Schulman,0,1,2,29,0
0,0,2,3,4,Chi A. Ossé,Chi Osse,3,2,0,36,1
0,1,0,2,0,James F. Gennaro,James F Gennaro,4,0,2,24,0
1,2,0,0,2,Pierina Ana Sanchez,Pierina A Sanchez,3,2,0,14,0
1,0,2,3,4,Tiffany Cabán,Tiffany Caban,3,2,2,22,1
1,0,0,0,1,Julie Won,Julie Won,3,2,2,26,0
1,0,0,0,1,Gale A. Brewer,Gale Brewer,0,1,3,6,0
1,0,2,3,4,Sandy Nurse,Sandy Nurse,3,2,0,37,1
1,0,0,0,1,Crystal Hudson,Crystal Hudson,3,2,3,35,0
1,0,0,0,1,Shaun Abreu,Shaun Abreu,0,1,0,7,0
1,0,0,0,1,Amanda Farías,Amanda Farias,3,2,0,18,1
1,0,2,3,4,Alexa Avilés,Alexa Aviles,3,2,2,38,1
1,0,2,3,4,Jennifer Gutiérrez,Jennifer Gutierrez,2,2,0,34,1
2,1,0,4,0,Oswald Feliz,Oswald Feliz,4,0,0,15,0
2,1,0,4,0,"Rafael Salamanca, Jr.",Rafael Salamanca,1,0,0,17,0
2,2,0,4,2,Linda Lee,Linda Lee,0,0,2,23,0
2,0,0,0,1,Adrienne E. Adams,Adrienne Adams,2,2,4,28,0
2,1,0,4,0,Keith Powers ,Keith Powers,2,1,3,4,0
2,1,0,4,0,Kamillah Hanks,Kamillah M Hanks,4,0,1,49,0
2,1,1,1,3,Ari Kagan,Ari Kagan,4,0,2,47,0
2,1,2,4,0,Charles Barron,Charles Barron,4,2,4,42,0
2,2,0,4,2,Darlene Mealy,Darlene Mealy,0,1,4,41,0
2,1,0,4,0,Francisco P. Moya,Francisco P Moya,2,0,2,21,0
2,2,0,4,2,Erik D. Bottcher,Erik Bottcher,0,1,3,3,0
3,2,0,0,2,Kevin C. Riley,Kevin C Riley,2,1,4,12,0
3,0,2,3,4,Shahana K. Hanif,Shahana Hanif,0,2,3,39,1
3,1,0,2,0,Farah N. Louis,Farah Louis,0,1,4,45,0
3,0,2,3,4,Lincoln Restler,Lincoln Restler,0,2,3,33,1
4,1,1,1,3,David M. Carr,David M Carr,0,0,1,50,0
4,1,1,1,3,Inna Vernikov,Inna Vernikov,0,0,2,48,0
4,1,1,1,3,Joann Ariola ,Joann Ariola,4,0,1,32,0
4,1,1,1,3,Joseph C. Borelli,Joseph Borelli,4,0,1,51,0
4,1,1,1,3,Vickie Paladino,Vickie Paladino,0,0,2,19,0
5,1,1,1,3,Kalman Yeger ,Kalman Yeger,0,0,2,44,0
5,1,1,1,3,Robert F. Holden,Robert F Holden,4,0,1,30,0
