Candidate,Race,County
Mino Lora,"New York City Council Member, District 11",New York City (Bronx)
Marjorie Velazquez,"New York City Council Member, District 13",New York City (Bronx)
Adolfo Abreu,"New York City Council Member, District 14",New York City (Bronx)
Althea V. Stevens,"New York City Council Member, District 16",New York City (Bronx)
Amanda Farias,"New York City Council Member, District 18",New York City (Bronx)
Brad Lander,"New York City, Comptroller",New York City (Citywide)
Maya Wiley,"New York City, Mayor",New York City (Citywide)
Jumaane D. Williams,"New York City, Public Advocate",New York City (Citywide)
Antonio Reynoso,"Brooklyn, Borough President",New York City (Kings)
Eric Gonzalez,"Brooklyn, District Attorney",New York City (Kings)
Lincoln Restler,"New York City Council Member, District 33",New York City (Kings)
Jennifer Gutierrez,"New York City Council Member, District 34",New York City (Kings)
Tahirah Moore,"New York City Council Member, District 36 (Co-endorsement)",New York City (Kings)
Chi Ossé,"New York City Council Member, District 36 (Co-endorsement)",New York City (Kings)
Sandy Nurse,"New York City Council Member, District 37",New York City (Kings)
Alexa Aviles,"New York City Council Member, District 38",New York City (Kings)
Shahana Hanif,"New York City Council Member, District 39",New York City (Kings)
Alicka Ampry-Samuel,"New York City Council Member, District 41",New York City (Kings)
Justin L. Brannan,"New York City Council Member, District 43",New York City (Kings)
Mercedes Narcisse,"New York City Council Member, District 46 (First Choice)",New York City (Kings)
Shirley Paul,"New York City Council Member, District 46 (Second Choice)",New York City (Kings)
Tahanie Aboushi,"Manhattan, District Attorney",New York City (New York)
Carlina Rivera,"New York City Council Member, District 2",New York City (New York)
Johanna Garcia,"New York City Council Member, District 10",New York City (New York)
Austin I. Shafran,"New York City Council Member, District 19",New York City (Queens)
John Choe,"New York City Council Member, District 20",New York City (Queens)
Tiffany Caban,"New York City Council Member, District 22",New York City (Queens)
Jaslin Kaur,"New York City Council Member, District 23",New York City (Queens)
Moumita Ahmed,"New York City Council Member, District 24",New York City (Queens)
Amit Bagga,"New York City Council Member, District 26 (First Choice)",New York City (Queens)
Jesse Laymon,"New York City Council Member, District 26 (Second Choice)",New York City (Queens)
Harold C. Miller Jr.,"New York City Council Member, District 27",New York City (Queens)
Aleda Gagarin,"New York City Council Member, District 29",New York City (Queens)
Juan D. Ardila,"New York City Council Member, District 30",New York City (Queens)
Felicia Singh,"New York City Council Member, District 32",New York City (Queens)
Amoy Barnes,"New York City Council Member, District 49",New York City (Richmond)
