u,v,cosine,weight
LATINO VICTORY FUND NYC,New Yorkers for a Balanced Albany,0.5447491353369038,0.5447491353369038
Hotel Workers for Stronger Communities,LATINO VICTORY FUND NYC,0.5244351068630984,0.5244351068630984
Hotel Workers for Stronger Communities,Labor Strong 2021,0.47188218509924756,0.47188218509924756
Empire State 32BJ SEIU PAC,Hotel Workers for Stronger Communities,0.44224431973707207,0.44224431973707207
Labor Strong 2021,WFP National PAC - NYS IE Committee,0.4388394194422541,0.4388394194422541
Empire State 32BJ SEIU PAC,LATINO VICTORY FUND NYC,0.4247569321781246,0.4247569321781246
Amplify Her PAC,Empire State 32BJ SEIU PAC,0.4201109183481525,0.4201109183481525
Committee for Sensible Government,POLICE BENEVOLENT ASSOCIATION INDEPENDENT EXPENDIT,0.4104647465582003,0.4104647465582003
Empire State 32BJ SEIU PAC,Labor Strong 2021,0.4021012434648177,0.4021012434648177
New Yorkers for a Balanced Albany,"Voters of NYC, Inc.",0.37904835460126124,0.37904835460126124
Our City,WFP National PAC - NYS IE Committee,0.36735614794092436,0.36735614794092436
Labor Strong 2021,Laborers Building a Better New York,0.3526428941093392,0.3526428941093392
Laborers Building a Better New York,NY4KIDS Inc.,0.33397671333907686,0.33397671333907686
Empire State 32BJ SEIU PAC,NY4KIDS Inc.,0.31961168833056885,0.31961168833056885
Amplify Her PAC,WFP National PAC - NYS IE Committee,0.31909800400364213,0.31909800400364213
Hotel Workers for Stronger Communities,New Yorkers for a Balanced Albany,0.3001194071541083,0.3001194071541083
Amplify Her PAC,Road to Justice,0.2953904983039544,0.2953904983039544
Empire State 32BJ SEIU PAC,Laborers Building a Better New York,0.27351980298292905,0.27351980298292905
Empire State 32BJ SEIU PAC,Road to Justice,0.2733369173071707,0.2733369173071707
Road to Justice,WFP National PAC - NYS IE Committee,0.2721310841426834,0.2721310841426834
"Common Sense NYC, Inc.",Labor Strong 2021,0.2658356526725768,0.2658356526725768
Labor Strong 2021,"Voters of NYC, Inc.",0.2597008795028137,0.2597008795028137
NY4KIDS Inc.,Rebuild NYC 2021,0.25914388465765387,0.25914388465765387
Amplify Her PAC,Hotel Workers for Stronger Communities,0.2566282336490565,0.2566282336490565
Amplify Her PAC,LATINO VICTORY FUND NYC,0.2536296656005544,0.2536296656005544
Hotel Workers for Stronger Communities,Laborers Building a Better New York,0.2511768571459984,0.2511768571459984
Carpenters for Progress,Downtown Independent Democrats,0.24939206643111045,0.24939206643111045
Hotel Workers for Stronger Communities,Road to Justice,0.2486678454625834,0.2486678454625834
NYSNA PAC (Independent Expenditures),WFP National PAC - NYS IE Committee,0.247462559797457,0.247462559797457
Labor Strong 2021,Road to Justice,0.24392895089295738,0.24392895089295738
Laborers Building a Better New York,"Voters of NYC, Inc.",0.240396054565175,0.240396054565175
Empire State 32BJ SEIU PAC,WFP National PAC - NYS IE Committee,0.23767503575187712,0.23767503575187712
Empire State 32BJ SEIU PAC,NYSNA PAC (Independent Expenditures),0.23681613080998015,0.23681613080998015
"A Better NY for All, LLC",Jobs for New York,0.23666738407432616,0.23666738407432616
Carpenters for Progress,NYSNA PAC (Independent Expenditures),0.23461510801440674,0.23461510801440674
NYSNA PAC (Independent Expenditures),Our City,0.23273978687258745,0.23273978687258745
LATINO VICTORY FUND NYC,Labor Strong 2021,0.22849910968211448,0.22849910968211448
Amplify Her PAC,Labor Strong 2021,0.22765773815257603,0.22765773815257603
Build New York Fund,Laborers Building a Better New York,0.22712555991877104,0.22712555991877104
Empire State 32BJ SEIU PAC,New Yorkers for a Balanced Albany,0.2235179479115506,0.2235179479115506
Hotel Workers for Stronger Communities,NY4KIDS Inc.,0.2189658099580645,0.2189658099580645
