proper_name,normalized_name,lange,district,k_spon,louv,vote_cluster,kmode_cluster,k_meta_cluster,finance_cluster,pc,demo_cluster,wfp,self_described
Christopher Marte,Christopher Marte,CLE,1,0,0,0,0,1,0,2,3,0,0
Carlina Rivera,Carlina Rivera,HP,2,0,0,0,0,1,0,2,3,1,0
Erik D. Bottcher,Erik Bottcher,AL,3,2,2,0,4,2,0,1,3,0,0
Keith Powers,Keith Powers,CLE,4,2,1,0,4,0,2,1,3,0,0
Julie Menin,Julie Menin,CLE,5,0,1,0,2,0,0,1,3,0,0
Gale A. Brewer,Gale Brewer,AL,6,1,0,0,0,1,0,1,3,0,0
Shaun Abreu,Shaun Abreu,CLE,7,1,0,0,0,1,0,1,0,0,0
Diana I. Ayala,Diana I Ayala,CLE,8,0,2,0,2,2,2,1,0,0,0
Kristin Richardson Jordan,Kristin R Jordan,DSA,9,0,0,2,3,4,3,2,0,0,1
Carmen N. De La Rosa,Carmen De La Rosa,HP,10,0,0,0,0,1,0,2,0,0,0
Eric Dinowitz,Eric Dinowitz,AL,11,0,1,0,2,0,4,1,0,0,0
Kevin C. Riley,Kevin C Riley,CAM,12,3,2,0,0,2,2,1,4,0,0
Marjorie Velï¿½ï¿½ï,Marjorie Velazquez,HP,13,0,2,0,2,2,0,1,1,1,0
Pierina Ana Sanchez,Pierina A Sanchez,HP,14,1,2,0,0,2,3,2,0,0,0
Oswald Feliz,Oswald Feliz,CAM,15,2,1,0,4,0,4,0,0,0,0
Althea V.  Stevens,Althea V Stevens,CAM,16,0,1,0,2,0,2,2,0,1,0
"Rafael Salamanca, Jr.",Rafael Salamanca,CAM,17,2,1,0,4,0,1,0,0,0,0
Amanda Farï¿½ï,Amanda Farias,CLE,18,1,0,0,0,1,3,2,0,1,0
Vickie Paladino,Vickie Paladino,GOP,19,4,1,1,1,3,0,0,2,0,0
Sandra Ung,Sandra Ung,CAM,20,0,2,0,2,2,0,0,2,0,0
Francisco P. Moya,Francisco P Moya,CAM,21,2,1,0,4,0,2,0,2,0,0
Tiffany Cabï¿½,Tiffany Caban,DSA,22,1,0,2,3,4,3,2,2,1,1
Linda Lee,Linda Lee,CAM,23,2,2,0,4,2,0,0,2,0,0
James F. Gennaro,James F Gennaro,CAM,24,0,1,0,2,0,4,0,2,0,0
Shekar Krishnan,Shekar Krishnan,HP,25,0,0,0,0,1,0,2,2,0,0
Julie Won,Julie Won,HP,26,1,0,0,0,1,3,2,2,0,0
Nantasha M. Williams,Nantasha Williams,CAM,27,0,2,0,2,2,3,2,4,0,0
Adrienne E. Adams,Adrienne Adams,CLE,28,2,0,0,0,1,2,2,4,0,0
Lynn C. Schulman,Lynn Schulman,CAM,29,0,2,0,2,2,0,1,2,0,0
Robert F. Holden,Robert F Holden,GOP,30,5,1,1,1,3,4,0,1,0,0
Selvena N. Brooks-Powers,Selvena Brooks-Powers,CAM,31,0,1,0,2,0,2,1,4,0,0
Joann Ariola,Joann Ariola,GOP,32,4,1,1,1,3,4,0,1,0,0
Lincoln Restler,Lincoln Restler,Alph. Left,33,3,0,2,3,4,0,2,3,1,0
Jennifer Gutiï¿½ï¿½,Jennifer Gutierrez,Alph. Left,34,1,0,2,3,4,2,2,0,1,0
Crystal Hudson,Crystal Hudson,CLE,35,1,0,0,0,1,3,2,3,0,0
Chi A. Ossï¿,Chi Osse,HP,36,0,0,2,3,4,3,2,0,1,1
Sandy Nurse,Sandy Nurse,HP,37,1,0,2,3,4,3,2,0,1,1
Alexa Avilï¿½,Alexa Aviles,DSA,38,1,0,2,3,4,3,2,2,1,1
Shahana K. Hanif,Shahana Hanif,Alph. Left,39,3,0,2,3,4,0,2,3,1,1
Rita C. Joseph,Rita C Joseph,HP,40,0,0,0,0,1,3,2,4,0,0
Darlene Mealy,Darlene Mealy,CAM,41,2,2,0,4,2,0,1,4,0,0
Charles Barron,Charles Barron,HP,42,2,1,2,4,0,4,2,4,0,1
Justin L. Brannan,Justin Brannan,CLE,43,0,1,0,2,0,4,1,1,1,0
Kalman Yeger,Kalman Yeger,GOP,44,5,1,1,1,3,0,0,2,0,0
Farah N. Louis,Farah Louis,CAM,45,3,1,0,2,0,0,1,4,0,0
Mercedes Narcisse,Mercedes Narcisse,CLE,46,0,2,0,2,2,0,1,4,1,0
Ari Kagan,Ari Kagan,GOP,47,2,1,1,1,3,4,0,2,0,0
Inna Vernikov,Inna Vernikov,GOP,48,4,1,1,1,3,0,0,2,0,0
Kamillah Hanks,Kamillah M Hanks,CLE,49,2,1,0,4,0,4,0,1,0,0
David M. Carr,David M Carr,GOP,50,4,1,1,1,3,0,0,1,0,0
Joseph C. Borelli,Joseph Borelli,GOP,51,4,1,1,1,3,4,0,1,0,0
